stime,mode,size,color,date,pool,author,dbid,text
396.89400,1,25,16777215,1672184834,0,ddb8d97d,1217133622830620672,11,今年村晚又有台词了
757.82600,1,25,16777215,1672166838,0,c0b22fa2,1216982658807442176,11,这个角色剧中很气人
738.40600,1,25,16777215,1672166802,0,c0b22fa2,1216982360499746560,11,居然看过原片………
623.01700,1,25,16777215,1672166692,0,c0b22fa2,1216981434338955776,11,我的眼睛
60.83100,1,25,16777215,1672166113,0,c0b22fa2,1216976578475504640,11,可是它很可爱耶
666.96400,1,25,16777215,1672162247,0,fcc64662,1216944148091780352,11,这大概就是妖姬吧
56.69700,1,25,16777215,1672156997,0,d8b954b1,1216900108579566848,11,看见黄冠亨 意满离
125.79400,1,25,16777215,1672155853,0,5b804018,1216890511852524288,11,祺贵人确实愚蠢但实在美丽
277.22800,1,25,16777215,1672154116,0,ef0cda91,1216875940706025216,11,山头都能被犁好几遍…
519.82300,1,25,16777215,1672150853,0,f9a4cd43,1216848569869766144,11,救命哈哈哈哈哈哈
119.34700,1,25,16777215,1672150089,0,c7339734,1216842163179445760,11,祺贵人美丽，却实在愚蠢
667.58400,1,25,16777215,1672149928,0,a92fb91b,1216840814576514048,11,果然山海经理都是妖魔鬼怪
445.36200,1,25,16777215,1672149404,0,7f45be8,1216836411790350336,11,哈哈哈哈哈现在抖音又火了
169.39800,1,25,16777215,1672146822,0,a7637cc1,1216814752085680384,11,快火了 宝娟
789.23900,1,25,16777215,1672146628,0,686b86ca,1216813127421709312,11,谢谢庄嫂
392.51100,5,25,52480,1672145255,0,cf03fd65,1216801611347914240,11,说啥子嘛，海绵又莫得脑阔
686.65400,1,25,16777215,1672144494,0,6d5d716a,1216795227953035520,11,娜扎到底为什么喜欢他
662.15700,1,25,16777215,1672143351,0,f82dd38e,1216785640763898112,11,放开了，完全演出了自我
338.05600,1,25,16777215,1672142388,0,a975c7f1,1216777560294395648,11,这段台词有话剧的感觉
172.97900,1,25,16777215,1672142090,0,da1cfacf,1216775063651880192,11,这里面好像还有美队呢
684.63700,1,25,16777215,1672136109,0,5a5da0bb,1216724889986466304,11,女主现在报工伤还来得及吗
533.25300,1,25,16777215,1672132430,0,ca27a841,1216694023113358848,11,我靠·····还带出黑手的
791.14600,1,25,16777215,1672130673,0,91132253,1216679284404636160,11,借你吉言
786.89800,1,25,16777215,1672127762,0,49e17828,1216654865603163136,11,谢谢庄嫂
756.71800,1,25,16777215,1672127398,0,db2093fc,1216651811856093440,11,草感觉剧情好扎心。。。
475.55300,1,25,16777215,1672120065,0,d3692f0a,1216590300592583168,11,连酒窝都等比例还原
614.00000,1,25,16777215,1672118611,0,78598a52,1216578103170922752,11,笑容突然消失
745.50600,1,25,16777215,1672114146,0,3f1dd534,1216540651005927424,11,斯琴高娃老师呢
164.74100,1,25,16777215,1672107345,0,e657b219,1216483600451875584,11,吴彦祖真的是太帅了
690.85900,1,25,16777215,1672103169,0,b94d1116,1216448569457109248,11,张瀚原名张汉 他拖行交警
30.29200,1,25,16777215,1672102756,0,dd4cde19,1216445103594573312,11,用这个头像的都是智涨
786.04900,1,25,16777215,1672093063,0,ebed4f4a,1216363788513736192,11,心想事成 健康开心
645.90800,1,25,16777215,1672090175,0,de5dde3b,1216339562440438784,11,这是拖拽交警那个吗
222.33800,1,25,16777215,1672081061,0,cb1d6c62,1216263112039143936,11,野菜终结者
